what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1361858406625
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1361858406640
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1361858406656
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1361858406671
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1361858406671
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1361858406703
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1361858406703
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1361858406718
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1361858406718
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1361858406718
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1361858406734
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1361858406734
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1361858406750
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1361858406765
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1361858406781
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1361858406796
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1361858406812
started,bundle,org.eclipse.m2e.discovery,0.13.0.201105261543,"org.eclipse.m2e.discovery",1361858406812
started,bundle,org.eclipse.m2e.logback.configuration,0.13.0.201105261543,"org.eclipse.m2e.logback.configuration",1361858406812
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1361858406828
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1361858406843
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1361858406843
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1361858406843
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1361858406859
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1361858406875
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1361858406890
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1361858406890
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1361858406921
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1361858406921
os,sysinfo,,,"win32",1361858406937
arch,sysinfo,,,"x86",1361858406937
ws,sysinfo,,,"win32",1361858406937
locale,sysinfo,,,"en_US",1361858406937
processors,sysinfo,,,"2",1361858406937
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1361858406937
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1361858406937
java.specification.name,sysinfo,,,"Java Platform API Specification",1361858406937
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1361858406937
java.specification.version,sysinfo,,,"1.6",1361858406937
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1361858406937
java.version,sysinfo,,,"1.6.0_24",1361858406937
java.vm.info,sysinfo,,,"mixed mode",1361858406937
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1361858406937
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1361858406937
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1361858406937
java.vm.specification.version,sysinfo,,,"1.0",1361858406937
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1361858406937
java.vm.version,sysinfo,,,"19.1-b02",1361858406937
started,bundle,org.eclipse.m2e.usagedata,0.13.0.201105261543,"org.eclipse.m2e.usagedata",1361858406937
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1361858407500
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1361858407500
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1361858407562
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1361858407609
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1361858407718
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1361858413812
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1361858413843
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1361858413875
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1361858417703
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1361858417734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361858418875
started,bundle,org.eclipse.jgit,1.0.0.201106090707-r,"org.eclipse.jgit",1361858432140
started,bundle,org.eclipse.egit.core,1.0.0.201106090707-r,"org.eclipse.egit.core",1361858432218
started,bundle,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui",1361858432312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361858436125
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1361858436359
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1361858436468
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1361858438843
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1361858438859
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1361858439750
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1361858439781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361858446796
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1361858474531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361858475437
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361858476968
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361858477171
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1361858477484
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1361858487921
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1361858488609
started,bundle,org.testng.eclipse,6.0.1.20110602_1209,"org.testng.eclipse",1361858488656
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1361858536406
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1361858547562
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1361858547703
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1361858549015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361858555703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361858561078
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1361858564984
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1361858565125
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1361858565281
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1361858565296
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1361858568296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361858573218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361858579578
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1361858593296
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361858595203
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1361858596796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361858600312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361858622906
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361858628125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1361858630281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.revert",1361858633312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1361858636609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1361858643812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361858644984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361858721375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1361858730046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1361858739156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1361858756921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1361858757375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1361858757671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1361858763906
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1361858766765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1361858774421
